module	address	old_name	new_name	kind	basis	rom_rtti	danger_old_still_live_on_main	port_at_address	main_at_address	n_files	port_files
ov095	0x0213744c	SeesawBsZigZag_SpawnInfo	g_profile_KM3_YOKOSEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBsZigZag_SpawnInfo	g_profile_KM3_YOKOSEESAW	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x02137468	SeesawRr_SpawnInfo	g_profile_RC_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawRr_SpawnInfo	g_profile_RC_SEESAW	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x02137484	SeesawBob_SpawnInfo	g_profile_BOMB_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBob_SpawnInfo	g_profile_BOMB_SEESAW	4	port/hal/actor_classes.inc;port/hal/actor_classes_bob_world.cpp;port/ov095_syms.txt;port/slice_gate83.txt
ov095	0x021375cc	UpDownLiftBbh_SpawnInfo	g_profile_UDLIFT_TERESA	plain	one main-only spelling of the same kind	-	-	UpDownLiftBbh_SpawnInfo	g_profile_UDLIFT_TERESA	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x021375e8	UpDownLiftHmc_SpawnInfo	g_profile_UDLIFT	plain	one main-only spelling of the same kind	-	-	UpDownLiftHmc_SpawnInfo	g_profile_UDLIFT	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x02137604	UpDownLiftRr_SpawnInfo	g_profile_RC_RIFT02	plain	one main-only spelling of the same kind	-	-	UpDownLiftRr_SpawnInfo	g_profile_RC_RIFT02	2	port/hal/actor_classes.inc;port/ov095_syms.txt
ov095	0x021376cc	Flamethrower_SpawnInfo	g_profile_OBJ_FLAMETHROWER	plain	one main-only spelling of the same kind	-	-	Flamethrower_SpawnInfo	g_profile_OBJ_FLAMETHROWER	3	port/hal/actor_classes.inc;port/hal/actor_classes_flamethrower.cpp;port/ov095_syms.txt
ov096	0x021357a4	func_ov096_021357a4	_ZN5Pokey13OnYoshiTryEatEv	func	the one main-only spelling at the address	-	-	func_ov096_021357a4	_ZN5Pokey13OnYoshiTryEatEv	7	port/hal/actor_classes_ov096.cpp;port/ov094_syms.txt;port/ov096_syms.txt;port/slice_gate194.txt;port/slice_ov096.txt;port/tools/inferred_stub_adjudicated.txt;port/unmatched/HootTheOwl_StateDispatch.cpp
ov096	0x021357ac	func_ov096_021357ac	_ZN5Pokey16OnAimedAtWithEggEv	func	the one main-only spelling at the address	-	-	func_ov096_021357ac	_ZN5Pokey16OnAimedAtWithEggEv	4	port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt;port/slice_ov096.txt;port/tools/inferred_stub_adjudicated.txt
ov096	0x02136cd0	func_ov096_02136cd0	_ZN5Pokey13OnTurnIntoEggER6Player	func	the one main-only spelling at the address	-	-	func_ov096_02136cd0	_ZN5Pokey13OnTurnIntoEggER6Player	4	port/hal/actor_classes_ov096.cpp;port/ov096_syms.txt;port/slice_ov096.txt;port/tools/inferred_stub_adjudicated.txt
