class_name	state	header_path	base_class	subclass_count	overlays	method_count
daRedBombhei_c	DONE	include\BobOmbBuddy.h  [alias: header uses pre-rename name]	dActor_c	0	ov084	6
daSBird_c	DONE	include\Bird.h  [alias: header uses pre-rename name]	dActor_c	0	ov009	7
daSCoin_c	DONE	include\daSCoin_c.h	dActor_c	0	ov002	5
daSCre_c	DONE	include\daSCre_c.h	dActor_c	0	ov018	3
daSanbo_c	DONE	include\Pokey.h  [alias: header uses pre-rename name]	dActor_c	0	ov096	10
daSetSE_c	DONE	include\daSetSE_c.h	dActor_c	0	ov002	7
daSldMng_c	DONE	include\daSldMng_c.h	dActor_c	0	ov019	4
daSnmBth_c	DONE	include\SnowmanBreath.h  [alias: header uses pre-rename name]	dActor_c	0	ov027	8
daSoundObj_c	DONE	include\daSoundObj_c.h	dActor_c	0	ov002	4
daSpd_c	DONE	include\Scuttlebug.h  [alias: header uses pre-rename name]	dActor_c	0	ov071	10
daStarBase_c	DONE	include\StarMarker.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	9
daStarGate_c	DONE	include\StarDoor.h  [alias: header uses pre-rename name]	dActor_c	0	ov100	7
daTgz_c	DONE	include\Spiny.h  [alias: header uses pre-rename name]	dActor_c	0	ov077	10
daTor_c	DONE	include\Tornado.h  [alias: header uses pre-rename name]	dActor_c	0	ov096	10
daTree_c	DONE	include\daTree_c.h	dActor_c	0	ov002	7
daTrsIcon_c	DONE	include\daTrsIcon_c.h	dActor_c	0	ov063	3
daTrsTrap_c	DONE	include\daTrsTrap_c.h	dActor_c	0	ov063	7
daWarpkun_c	DONE	include\daWarpkun_c.h	dActor_c	0	ov002	7
dScMgBase_c	DONE	include\dScMgBase_c.h	dScene_c	15	ov004	34
dScBoot_c	PARTIAL	include\dScBoot_c.h	dScene_c	0	arm9	4
dScDSMT_c	DONE	include\dScDSMT_c.h	dScene_c	0	ov007	9
dScEntry_c	DONE	include\dScEntry_c.h	dScene_c	0	ov075	14
dScGameOver_c	DONE	include\dScGameOver_c.h	dScene_c	0	ov003	7
dScMB_c	DONE	include\dScMB_c.h	dScene_c	0	arm9	9
dScMiniGm_c	DONE	include\dScMiniGm_c.h	dScene_c	0	ov005	7
dScStage_c	DONE	include\Stage.h  [alias: header uses pre-rename name]	dScene_c	0	arm9;ov002	43
dScStarSel_c	DONE	include\dScStarSel_c.h	dScene_c	0	ov003	7
dScTitle_c	DONE	include\dScTitle_c.h	dScene_c	0	ov003	7
dCamera_c	DONE	include\Camera.h  [alias: header uses pre-rename name]	dView_c	0	arm9	14
dFdDummy_c	DONE	include\dFdDummy_c.h	dFdColor_c	0	arm9	5
dFdWipe_c	DONE	include\FaderWipe.h  [alias: header uses pre-rename name]	dFdColor_c	0	arm9	5
dWipe_c	DONE	include\dWipe_c.h	dFdColor_c	0	arm9	10
dBgW_KcMbgSclY	DONE	include\dBgW_KcMbgSclY.h	dBgW_KcMbg	0	arm9	10
daObjKaitendai_c	DONE	include\daObjKaitendai_c.h	dBgActor_c	5	ov002	4
daObjFallBlock_c	DONE	include\daObjFallBlock_c.h	dBgActor_c	4	ov098	6
daObjDorifu_c	DONE	include\daObjDorifu_c.h	dBgActor_c	3	ov002	6
daObjFloatBoard_c	DONE	include\daObjFloatBoard_c.h	dBgActor_c	3	ov002	5
dPathLiftActor_c	MISSING	include/dPathLiftActor_c.h (MISSING)	dBgActor_c	2	ov002	4
daDsnBase_c	DONE	include\daDsnBase_c.h	dBgActor_c	2	ov091	4
daObjGuragura_c	DONE	include\daObjGuragura_c.h	dBgActor_c	2	ov002	4
daObjKuruma_c	DONE	include\daObjKuruma_c.h	dBgActor_c	2	ov002	4
daObjKurumajiku_c	DONE	include\daObjKurumajiku_c.h	dBgActor_c	2	ov002	4
daObjMaruta_c	DONE	include\daObjMaruta_c.h	dBgActor_c	2	ov080	4
daObjSwdoor_c	DONE	include\daObjSwdoor_c.h	dBgActor_c	2	ov002	3
