path	tier	module	rtti_class	class_names	evidence	funcs_in_file	cpp_marker	has_header	extern_ZTV	blockers
src/_ZN11dScMiniGm_c16CleanupResourcesEv.c	P1-vtable+mangled	ov005	dScMiniGm_c	dScMiniGm_c	vtable dScMiniGm_c slot 3 @0x20c1654 | _ZN11dScMiniGm_c16CleanupResourcesEv	1		True		-
src/_ZN11dScMiniGm_c16OnPendingDestroyEv.c	P1-vtable+mangled	ov005	dScMiniGm_c	dScMiniGm_c	vtable dScMiniGm_c slot 12 @0x20c0b00 | _ZN11dScMiniGm_c16OnPendingDestroyEv	1		True		-
src/_ZN11dScMiniGm_c6RenderEv.c	P3-mangled-method-only			dScMiniGm_c	_ZN11dScMiniGm_c6RenderEv	0		True		NONMATCHING-draft;not-in-delinks
src/_ZN11dScMiniGm_c8BehaviorEv.c	P1-vtable+mangled	ov005	dScMiniGm_c	dScMiniGm_c	vtable dScMiniGm_c slot 6 @0x20c14a0 | _ZN11dScMiniGm_c8BehaviorEv	1		True		-
src/_ZN11dScMiniGm_cD0Ev.c	DTOR-ONLY	ov005	dScMiniGm_c	dScMiniGm_c	_ZN11dScMiniGm_cD0Ev	1		True		-
src/_ZN11dScMiniGm_cD1Ev.c	DTOR-ONLY	ov005	dScMiniGm_c	dScMiniGm_c	_ZN11dScMiniGm_cD1Ev	1		True		-
src/_ZN11daBgSnwmn_c13InitResourcesEv.c	P1-vtable+mangled	ov072	daBgSnwmn_c	daBgSnwmn_c	vtable daBgSnwmn_c slot 0 @0x2120a44 | _ZN11daBgSnwmn_c13InitResourcesEv	1		True		-
src/_ZN11daBgSnwmn_c16CleanupResourcesEv.c	P1-vtable+mangled	ov072	daBgSnwmn_c	daBgSnwmn_c	vtable daBgSnwmn_c slot 3 @0x2120980 | _ZN11daBgSnwmn_c16CleanupResourcesEv	1		True		-
src/_ZN11daBgSnwmn_c16OnPendingDestroyEv.c	P1-vtable+mangled	ov072	daBgSnwmn_c	daBgSnwmn_c	vtable daBgSnwmn_c slot 12 @0x21209bc | _ZN11daBgSnwmn_c16OnPendingDestroyEv	1		True		-
src/_ZN11daBgSnwmn_cD0Ev.c	DTOR-ONLY	ov072	daBgSnwmn_c	daBgSnwmn_c	_ZN11daBgSnwmn_cD0Ev	1		True		-
src/_ZN11daBgSnwmn_cD1Ev.c	DTOR-ONLY	ov072	daBgSnwmn_c	daBgSnwmn_c	_ZN11daBgSnwmn_cD1Ev	1		True		-
src/_ZN11daDsnBase_cD0Ev.cpp	DTOR-ONLY	ov091	daDsn_c	daDsnBase_c/daDsn_c	_ZN11daDsnBase_cD0Ev	1		True	_ZTV10dBgActor_c/_ZTV11daDsnBase_c	-
src/_ZN11daDsnBase_cD1Ev.c	DTOR-ONLY	ov091	daDsn_c	daDsnBase_c/daDsn_c	_ZN11daDsnBase_cD1Ev	1		True	_ZTV10dBgActor_c/_ZTV11daDsnBase_c	-
src/_ZN12CylinderClsnD0Ev.c	DTOR-ONLY	arm9	dCc_c	CylinderClsn/dCc_c	_ZN12CylinderClsnD0Ev	1		True		-
src/_ZN12CylinderClsnD1Ev.c	DTOR-ONLY	arm9	dCc_c	CylinderClsn/dCc_c	_ZN12CylinderClsnD1Ev	1		True		-
