class_name	shard_count	total_lines	overlay	has_header	already_promoted	blockers	sibling_oracle
dMgMCarlo2CardObj_c+dScMgMCarlo2_c	1	1087	ov006	no	no	multi-class-tu:2;owns-vtable:5syms(needs production_mode=intact-object);already-one-legacy-file:src/actors/dScMgMCarlo2_c.cpp(needs manifest registration, not a shard merge);classif:no-header:dMgMCarlo2CardObj_c	dScMgSingle3DBase_c
Player	596	25436	ov002	unknown	no	unmatched:8;no-legacy-source:4;pragma:13;owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
CutsceneObject+daDemo_c	142	3611	ov002	yes	no	unmatched:5;no-legacy-source:3;pragma:7;multi-class-tu:2;owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
cMgSmartball_ana_c+cMgSmartball_ball_c+cMgSmartball_board_c+cMgSmartball_dokan_c+cMgSmartball_kinoko_c+cMgSmartball_object_c+cMgSmartball_pakkun_c+cMgSmartball_propeller_c+cMgSmartball_pushswitch_c+cMgSmartball_slot_c+cMgSmartball_spring_c+cMgSmartball_wing_c+dScMgSmartball_c	127	6066	ov006	yes	no	unmatched:3;no-legacy-source:3;pragma:15;multi-class-tu:13;owns-vtable:39syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgSound_c	80	1732	ov006	yes	no	unmatched:3;no-legacy-source:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgTeresa_c	80	2172	ov006	yes	no	unmatched:2;no-legacy-source:1;pragma:7;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgBomroom_c	79	2283	ov006	yes	no	unmatched:8;no-legacy-source:1;pragma:17;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
daTBasket_c+daTrsIcon_c+daTrs_c	91	3657	ov063	yes	no	unmatched:3;no-legacy-source:2;pragma:3;multi-class-tu:3;owns-vtable:9syms(needs production_mode=intact-object)	-
dScMgPachinko_c	70	2262	ov006	yes	no	unmatched:8;no-legacy-source:5;pragma:5;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgPanel_c	70	2010	ov006	yes	no	unmatched:3;no-legacy-source:1;pragma:7;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
OamAnimation+dScEntry_c	82	3388	ov075	yes	no	unmatched:3;pragma:3;multi-class-tu:2;owns-vtable:3syms(needs production_mode=intact-object)	-
dScMgCoin_c	60	1550	ov006	yes	no	unmatched:2;no-legacy-source:2;pragma:2;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgHanachan_c	60	2296	ov006	yes	no	unmatched:2;no-legacy-source:1;pragma:7;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgPachinko2_c+dScMgPachinko_c	73	2668	ov006	yes	no	unmatched:3;no-legacy-source:1;pragma:35;multi-class-tu:2;owns-vtable:6syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgLuigi_c	54	1740	ov006	yes	no	unmatched:10;no-legacy-source:3;pragma:6;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Goomboss	53	2193	ov074	unknown	no	unmatched:2;owns-vtable:1syms(needs production_mode=intact-object)	-
dEnemyBase_c	30	945	ov002	yes	no	unmatched:1;no-legacy-source:1;owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daObjMarioCap_c	30	1248	ov002	yes	no	unmatched:1;owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
dScMgMemory2_c	51	1416	ov006	yes	no	unmatched:2;pragma:2;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
PowerStar+StarMarker	77	3257	ov002	unknown	no	unmatched:2;pragma:2;multi-class-tu:2;owns-vtable:2syms(needs production_mode=intact-object)	daBar_c
dScMgCurling2_c	49	1418	ov006	yes	no	unmatched:4;no-legacy-source:3;pragma:3;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgMemory_c	45	1279	ov006	yes	no	unmatched:2;no-legacy-source:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Bowser+BowserTail	78	3047	ov060	unknown	no	unmatched:1;no-legacy-source:1;pragma:2;multi-class-tu:2;owns-vtable:2syms(needs production_mode=intact-object)	-
dScMgCurling_c	43	1357	ov006	yes	no	unmatched:4;no-legacy-source:3;pragma:5;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Eyerok	61	2488	ov066	unknown	no	unmatched:6;pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
dScMgRoulette_c	40	1663	ov006	yes	no	unmatched:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScMgTrampoline2_c	39	1331	ov006	yes	no	unmatched:1;no-legacy-source:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Moneybag	36	948	ov081	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	-
SignPost	27	911	ov002	unknown	no	unmatched:1;no-legacy-source:1;owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
Door	31	956	ov100	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjPathLift_c
KingBobOmb	51	1940	ov078	unknown	no	unmatched:1;pragma:4;owns-vtable:1syms(needs production_mode=intact-object)	-
daSCoin_c	8	240	ov002	yes	no	unmatched:1;owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daTrsTrap_c	15	382	ov063	yes	no	unmatched:1;no-legacy-source:1;owns-vtable:3syms(needs production_mode=intact-object)	-
dScMgCup_c	30	1113	ov006	yes	no	unmatched:1;pragma:5;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dScStarSel_c	14	1330	ov003	yes	no	unmatched:4;owns-vtable:3syms(needs production_mode=intact-object);classif:NONMATCHING-draft;classif:not-in-delinks	-
dScDSMT_c	13	305	ov007	yes	no	unmatched:2;owns-vtable:3syms(needs production_mode=intact-object)	-
dScMgSlot1_c+dScMgSlot3_c	40	1566	ov006	yes	no	unmatched:3;no-legacy-source:1;pragma:4;multi-class-tu:2;owns-vtable:6syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
daKpa2Bg_c	9	171	ov060	yes	no	unmatched:1;owns-vtable:3syms(needs production_mode=intact-object)	-
PrincessPeach	24	467	ov085	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	-
dScMgAmida_c	24	2006	ov006	yes	no	unmatched:3;no-legacy-source:2;pragma:7;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
MrI	22	681	ov071	unknown	no	unmatched:3;no-legacy-source:1;owns-vtable:1syms(needs production_mode=intact-object)	daEyBm_c
dScMiniGm_c	25	1301	ov005	yes	no	unmatched:2;pragma:1;owns-vtable:3syms(needs production_mode=intact-object);classif:NONMATCHING-draft;classif:not-in-delinks	-
YoshiEgg	32	1304	ov002	unknown	no	unmatched:1;pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
Bullet	12	251	ov002	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
dScMgSnowball_c	20	1271	ov006	yes	no	unmatched:4;no-legacy-source:3;pragma:5;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Key	18	1009	ov089	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	-
dScMgJump_c	17	503	ov006	yes	no	unmatched:1;no-legacy-source:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
RollingIronBall	15	855	ov100	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjPathLift_c
MugenBgm	8	173	ov002	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
Wiggler	34	1520	ov034	unknown	no	unmatched:1;pragma:6;owns-vtable:1syms(needs production_mode=intact-object)	-
Whomp	34	1898	ov079	unknown	no	unmatched:1;pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	-
daKrb_c+daKrb_c	32	1904	ov084	yes	no	unmatched:1;pragma:2;multi-class-tu:2;owns-vtable:6syms(needs production_mode=intact-object)	-
LakituBro	32	1047	ov085	unknown	no	unmatched:1;pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
Dorrie+DorriePlatform+daDossyCap_c	28	810	ov065	yes	no	unmatched:1;no-legacy-source:1;pragma:3;multi-class-tu:3;owns-vtable:4syms(needs production_mode=intact-object)	daObjCtMecha05_c
TTC_MovingBeam	7	228	ov065	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjCtMecha05_c
Tornado	10	326	ov096	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	-
WorkElevator	8	547	ov021	unknown	no	unmatched:2;owns-vtable:1syms(needs production_mode=intact-object);classif:NONMATCHING-draft;classif:not-in-delinks	daObjCvShutter_c
TtcRotatingGear	6	213	ov065	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjCtMecha05_c
dScMgFlower_c	8	576	ov006	yes	no	unmatched:1;no-legacy-source:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Painting	27	952	ov080	unknown	no	unmatched:1;no-legacy-source:1;pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
BowserShockwaves	6	208	ov060	unknown	no	unmatched:1;owns-vtable:1syms(needs production_mode=intact-object)	-
KnockDownPlank	12	385	ov015	unknown	no	unmatched:1;pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	daObjBkBillboard_c
BookSwitch+Unagi	19	787	ov016	unknown	no	unmatched:1;no-legacy-source:1;pragma:2;multi-class-tu:2;owns-vtable:1syms(needs production_mode=intact-object)	daObjKi_Ita_c
dCapIcon_c	6	131	ov001	no	no	unmatched:1;pragma:1;owns-vtable:3syms(needs production_mode=intact-object);classif:no-header:dCapIcon_c	-
UNATTRIBUTED	1457	-	(all overlays)	-	-	321 unattributed .text runs in non-arm9-core modules; no class name recoverable from mangled name/RTTI/tu_map -- needs manual attribution before a promotion can target them	-
UNATTRIBUTED-CORE	3103	-	main+itcm	-	-	44 under-segmented arm9 core TU-candidate runs (tu_map.py reports main/itcm as a lower bound, not real per-class TUs); excluded from per-class ranking	-
