module	addr	old	new	why
ov100	0x021484bc	data_ov100_021484bc	_ZTV4Fish	vtable alloc=0x160
ov100	0x02148558	data_ov100_02148558	PathLift_SpawnInfo	spawninfo
ov102	0x02148a80	func_ov102_02148a80	_ZN13FortressTowerD1Ev	vtable slot 16
ov102	0x02148ac4	func_ov102_02148ac4	_ZN13FortressTowerD0Ev	vtable slot 17
ov102	0x02148b1c	func_ov102_02148b1c	_ZN13FortressTower16CleanupResourcesEv	vtable slot 3
ov102	0x02148b80	func_ov102_02148b80	_ZN13FortressTower6RenderEv	vtable slot 9
ov102	0x02148ba8	func_ov102_02148ba8	_ZN13FortressTower8BehaviorEv	vtable slot 6
ov102	0x02148c94	func_ov102_02148c94	_ZN13FortressTower13InitResourcesEv	vtable slot 0
ov102	0x02148e9c	func_ov102_02148e9c	RopeBarrier_Spawn	spawnfunc
ov102	0x02148ecc	func_ov102_02148ecc	CgStairs_Spawn	spawnfunc
ov102	0x02148efc	func_ov102_02148efc	WarpPipe_Spawn	spawnfunc
ov102	0x02148f2c	func_ov102_02148f2c	FortressTower_Spawn	spawnfunc
ov102	0x02148f5c	func_ov102_02148f5c	RockTriangle_Spawn	spawnfunc
ov102	0x02148f8c	func_ov102_02148f8c	StaticRock_Spawn	spawnfunc
ov102	0x02148fbc	func_ov102_02148fbc	_ZN13QuestionBlockD1Ev	vtable slot 16
ov102	0x02149010	func_ov102_02149010	_ZN13QuestionBlockD0Ev	vtable slot 17
ov102	0x0214a08c	func_ov102_0214a08c	_ZN13QuestionBlock16CleanupResourcesEv	vtable slot 3
ov102	0x0214a2ac	func_ov102_0214a2ac	_ZN13QuestionBlock6RenderEv	vtable slot 9
ov102	0x0214a32c	func_ov102_0214a32c	_ZN13QuestionBlock8BehaviorEv	vtable slot 6
ov102	0x0214a4a4	func_ov102_0214a4a4	_ZN13QuestionBlock13InitResourcesEv	vtable slot 0
ov102	0x0214a7ec	func_ov102_0214a7ec	CapBlockWario_Spawn	spawnfunc
ov102	0x0214a82c	func_ov102_0214a82c	CapBlockLuigi_Spawn	spawnfunc
ov102	0x0214a86c	func_ov102_0214a86c	CapBlockMario_Spawn	spawnfunc
ov102	0x0214a8ac	func_ov102_0214a8ac	ExclamationBlock_Spawn	spawnfunc
ov102	0x0214a8ec	func_ov102_0214a8ec	QuestionBlock_Spawn	spawnfunc
ov102	0x0214a92c	func_ov102_0214a92c	ExclamationBlockVs_Spawn	spawnfunc
ov102	0x0214a96c	func_ov102_0214a96c	_ZN6BobOmbD1Ev	vtable slot 16
ov102	0x0214a9b4	func_ov102_0214a9b4	_ZN6BobOmbD0Ev	vtable slot 17
ov102	0x0214c12c	func_ov102_0214c12c	_ZN6BobOmb16CleanupResourcesEv	vtable slot 3
ov102	0x0214c168	func_ov102_0214c168	_ZN6BobOmb6RenderEv	vtable slot 9
ov102	0x0214c1bc	func_ov102_0214c1bc	_ZN6BobOmb8BehaviorEv	vtable slot 6
ov102	0x0214c510	func_ov102_0214c510	_ZN6BobOmb13InitResourcesEv	vtable slot 0
ov102	0x0214c6f8	func_ov102_0214c6f8	BobOmb_Spawn	spawnfunc
ov102	0x0214c748	func_ov102_0214c748	_ZN10KoopaShellD1Ev	vtable slot 16
ov102	0x0214c798	func_ov102_0214c798	_ZN10KoopaShellD0Ev	vtable slot 17
ov102	0x0214d248	func_ov102_0214d248	_ZN10KoopaShell16CleanupResourcesEv	vtable slot 3
ov102	0x0214d274	func_ov102_0214d274	_ZN10KoopaShell16OnPendingDestroyEv	vtable slot 12
ov102	0x0214d278	func_ov102_0214d278	_ZN10KoopaShell6RenderEv	vtable slot 9
ov102	0x0214d2e8	func_ov102_0214d2e8	_ZN10KoopaShell8BehaviorEv	vtable slot 6
ov102	0x0214d54c	func_ov102_0214d54c	_ZN10KoopaShell13InitResourcesEv	vtable slot 0
ov102	0x0214d6b4	func_ov102_0214d6b4	KoopaShell_Spawn	spawnfunc
ov102	0x0214e0e0	data_ov102_0214e0e0	StaticRock_SpawnInfo	spawninfo
ov102	0x0214e0fc	data_ov102_0214e0fc	RockTriangle_SpawnInfo	spawninfo
