380	MG_PANEL	0x208fa08
381	MG_MCARLO	0x208fd14
382	MG_MCARLO2	0x208fff0
383	MG_ROULETTE	0x20902e4
384	MG_TRAMPOLINE	0x20905e8
385	MG_TRAMPOLINE2	0x2090728
386	MG_HANACHAN	0x20901dc
387	MG_TERESA	0x208fcf0
388	MG_BS_CARD	0x2090044
389	MG_3DESP	0x208fbb8
390	MG_FLOWER	0x208fcd8
391	END_OF	0x208f7f0
